Date,Open1,Close1,Open2,Close2
2000/5/1,43.5,44.1875,7.75,7.875
2000/5/2,44.0625,44.75,7.875,7.9375
2000/5/3,44.75,43.875,7.9375,8.125
2000/5/4,44,45,8.125,8.25
2000/5/5,45.03125,46,8.125,8.8125
2000/5/8,45,44.375,8.6875,8.5
2000/5/9,44,41.75,8.4375,8.75
2000/5/10,40.25,39.96875,8.625,8.5
2000/5/11,40.625,43.875,8.5,8.4375
2000/5/12,43.53125,42.84375,8.4375,8.5625
2000/5/15,42.625,42.75,8.5,8.6875
2000/5/16,43.4375,44.25,8.5625,8.5625
2000/5/17,43.9375,42.5,8.5625,8.75
2000/5/18,43,43.25,8.625,9.125
2000/5/19,42.625,41.90625,9.125,9
2000/5/22,41.53125,40.25,9.1875,8.9375
2000/5/23,39.875,37.75,8.8125,8.75
2000/5/24,37,36.34375,8.8125,8.75
2000/5/25,36,35.3125,8.6875,8.6875
2000/5/26,35.1875,37,8.5625,8.5625
2000/5/30,38.9375,43,8.625,8.5625
2000/5/31,42.9375,40.875,8.5625,8.5
2000/6/1,41.4375,42,8.5,8.5
2000/6/2,45,45.0625,8.5,8.9375
2000/6/5,44.875,45.5625,8.875,8.75
2000/6/6,46.28125,45.125,8.6875,9
2000/6/7,44.75,43.5,8.9375,8.625
2000/6/8,45,43.5625,8.5,8.75
2000/6/9,44.25,44.375,8.75,8.5
2000/6/12,44.9375,42.75,8.5,8.625
2000/6/13,43,44,8.625,8.5625
2000/6/14,43.65625,41.875,8.4375,8.375
2000/6/15,41.28125,41.4375,8.3125,8.125
2000/6/16,41.375,41.25,8.375,8.5625
2000/6/19,40.5,45.90625,8.5625,8.5
2000/6/20,45.8125,45.625,8.4375,8.25
2000/6/21,44.9375,47.5,8.1875,8.375
2000/6/22,47,45.625,8.375,8.375
2000/6/23,45.625,43.875,8.375,8.4375
2000/6/26,44.5,43.625,8.4375,8.5
2000/6/27,43,42.125,8.625,8.5
2000/6/28,41.6875,40.34375,8.5,8.5625
2000/6/29,39.5,38.125,8.5,8.625
2000/6/30,38.3125,38.625,8.5,8.5625
2000/7/3,38.5,42.125,8.625,8.5
2000/7/5,37.5,37.625,8.5,8.5625
2000/7/6,37.25,38.75,8.625,8.5625
2000/7/7,38.875,41,8.5625,8.75
2000/7/10,43.125,42.5,8.6875,8.9375
2000/7/11,42.125,41.75,9,8.8125
2000/7/12,42,42.15625,8.6875,8.625
2000/7/13,42.96875,42.75,8.875,8.625
2000/7/14,43.6875,45,8.625,8.6875
2000/7/17,44.59375,45.625,8.6875,8.5
2000/7/18,44.0625,45.5,8.5625,8.5625
2000/7/19,44,45.125,8.875,9.1875
2000/7/20,44.5,43.0625,9.0625,8.875
2000/7/21,42.46875,40.0625,8.875,8.6875
2000/7/24,40.5,39,8.75,8.75
2000/7/25,39.5,39.375,8.875,8.875
2000/7/26,39.34375,38.09375,8.875,8.875
2000/7/27,36.8125,35,8.875,8.875
2000/7/28,35.84375,35.5,8.6875,8.9375
2000/7/31,35.9375,36,8.875,8.75
2000/8/1,36.09375,33.875,8.875,8.875
2000/8/2,33.5,31.25,8.875,8.75
2000/8/3,29.375,32.75,8.625,8.5625
2000/8/4,33,31.375,8.5,8.75
2000/8/7,30.25,32.5,8.75,8.625
2000/8/8,32.875,30.625,8.6875,8.75
2000/8/9,31.25,30.875,8.75,8.8125
2000/8/10,30.1875,28.5,9,9.125
2000/8/11,27.625,28.875,9.0625,9.1875
2000/8/14,29.5625,31.5,9.3125,9.1875
2000/8/15,31.625,32,9.375,9.1875
2000/8/16,32.3125,32.625,9.375,9.3125
2000/8/17,31.625,34.0625,9.3125,8.9375
2000/8/18,35.21875,35.125,8.875,9
2000/8/21,35.375,34.09375,9.125,9.125
2000/8/22,34.125,34.4375,9.125,9
2000/8/23,34.625,34.75,9,9
2000/8/24,35.125,34.9375,9,8.9375
2000/8/25,35,34.5,9,9
2000/8/28,34.625,34.5,9.0625,9
2000/8/29,34.5625,34.75,9.125,9
2000/8/30,34.5,35,9.0625,9.375
2000/8/31,35.25,37.5,9.25,9.25
2000/9/1,38.125,37.5,9.25,9.25
2000/9/5,37,34.75,9.1875,9.25
2000/9/6,34.5,32,9.25,9.25
2000/9/7,32.5,33,9.25,9.5
2000/9/8,33,31.875,9.5,9.5625
2000/9/11,31.5625,32.25,9.6875,9.5625
2000/9/12,31.0625,30.5,9.625,9.25
2000/9/13,28.5,29,9.125,9
2000/9/14,29.0625,28.375,9,9
2000/9/15,28,27.75,9.125,9.1875
2000/9/18,27.5,26.5,9.125,9.0625
2000/9/19,26.25,30.375,9.0625,9.125
2000/9/20,30.4375,29.6875,9.125,9.0625
2000/9/21,28.25,23.9375,9,9.125
2000/9/22,24.25,26.5,9,9.0625
2000/9/25,26.75,25.9375,9,9
2000/9/26,26,24.875,9,9.0625
2000/9/27,25.0625,24,9,8.875
2000/9/28,24.75,23.625,8.875,9
2000/9/29,24.0625,24,8.9375,9
2000/10/2,23.9375,23.25,9,9
2000/10/3,24,23.6875,9,8.875
2000/10/4,23.5,24.5,8.875,8.875
2000/10/5,24.4375,23.5,8.875,8.875
